task	file	body_len	first_line
8	task_8_128.txt	212	128)
8	task_8_129.txt	173	129)
8	task_8_130.txt	212	130)
8	task_8_131.txt	173	131)
8	task_8_132.txt	174	132)
8	task_8_133.txt	215	133)
8	task_8_134.txt	174	134)
8	task_8_135.txt	174	135)
8	task_8_144.txt	206	144)
8	task_8_145.txt	213	145)
8	task_8_146.txt	213	146)
8	task_8_147.txt	213	147)
8	task_8_148.txt	213	148)
8	task_8_149.txt	213	149)
8	task_8_156.txt	186	156)
8	task_8_157.txt	186	157)
8	task_8_158.txt	186	158)
8	task_8_159.txt	186	159)
8	task_8_160.txt	172	160)
8	task_8_161.txt	172	161)
8	task_8_162.txt	172	162)
8	task_8_163.txt	172	163)
8	task_8_164.txt	178	164)
8	task_8_165.txt	178	165)
8	task_8_166.txt	177	166)
8	task_8_181.txt	201	181)
8	task_8_183.txt	188	183)
8	task_8_184.txt	177	184)
8	task_8_185.txt	148	185)
8	task_8_186.txt	183	186)
8	task_8_187.txt	186	187)
8	task_8_188.txt	186	188)
8	task_8_189.txt	186	189)
8	task_8_190.txt	186	190)
8	task_8_191.txt	186	191)
8	task_8_193.txt	101	193)
8	task_8_198.txt	215	198)
8	task_8_200.txt	191	200)
8	task_8_201.txt	200	201)
8	task_8_209.txt	219	209)
8	task_8_212.txt	219	212)
8	task_8_217.txt	196	217)
8	task_8_222.txt	216	222)
8	task_8_223.txt	199	223)
8	task_8_225.txt	184	225)
8	task_8_228.txt	193	228)
8	task_8_254.txt	210	254)
8	task_8_255.txt	217	255)
8	task_8_256.txt	166	256)
8	task_8_262.txt	210	262)
8	task_8_270.txt	193	270)
8	task_8_271.txt	194	271)
8	task_8_272.txt	194	272)
8	task_8_273.txt	195	273)
8	task_8_274.txt	179	274)
8	task_8_275.txt	179	275)
8	task_8_276.txt	179	276)
8	task_8_280.txt	198	280)
8	task_8_281.txt	154	281)
8	task_8_285.txt	177	285)
8	task_8_289.txt	211	289)
8	task_8_295.txt	200	295)
8	task_8_296.txt	192	296)
8	task_8_297.txt	179	297)
8	task_8_299.txt	218	299)
8	task_8_300.txt	215	300)
8	task_8_301.txt	198	301)
8	task_8_302.txt	197	302)
8	task_8_309.txt	186	309)
8	task_8_310.txt	211	310)
8	task_8_313.txt	191	313)
8	task_8_320.txt	126	320)
8	task_8_321.txt	219	321)
8	task_8_331.txt	168	331)
8	task_8_332.txt	171	332)
8	task_8_333.txt	175	333)
8	task_8_334.txt	198	334)
8	task_8_335.txt	132	335)
8	task_8_337.txt	145	337)
8	task_8_338.txt	145	338)
8	task_8_340.txt	218	340)
8	task_8_348.txt	217	348)
8	task_8_362.txt	167	362)
8	task_8_363.txt	219	363)
8	task_8_370.txt	173	370)
8	task_8_383.txt	119	383)
8	task_8_384.txt	218	384)
8	task_8_385.txt	185	385)
8	task_8_399.txt	211	399)
8	task_8_400.txt	184	400)
8	task_8_402.txt	180	402)
8	task_8_403.txt	182	403)
8	task_8_404.txt	189	404)
8	task_8_405.txt	185	405)
8	task_8_406.txt	188	406)
8	task_8_407.txt	182	407)
8	task_8_408.txt	184	408)
8	task_8_409.txt	174	409)
8	task_8_410.txt	179	410)
8	task_8_411.txt	183	411)
8	task_8_412.txt	197	412)
8	task_8_413.txt	188	413)
8	task_8_414.txt	188	414)
8	task_8_438.txt	190	438)
8	task_8_442.txt	196	442)
8	task_8_443.txt	178	443)
8	task_8_446.txt	134	446)
8	task_8_455.txt	184	455)
8	task_8_456.txt	198	456)
8	task_8_457.txt	199	457)
8	task_8_459.txt	173	459)
8	task_8_460.txt	174	460)
8	task_8_461.txt	174	461)
8	task_8_463.txt	182	463)
8	task_8_464.txt	179	464)
8	task_8_465.txt	180	465)
8	task_8_466.txt	210	466)
8	task_8_467.txt	216	467)
8	task_8_468.txt	217	468)
8	task_8_469.txt	217	469)
8	task_8_470.txt	211	470)
8	task_8_490.txt	182	490)
8	task_8_495.txt	165	495)
8	task_8_497.txt	204	497)
10	task_10_219.txt	201	219)
10	task_10_228.txt	211	228)
10	task_10_242.txt	201	242)
10	task_10_244.txt	212	244)
10	task_10_245.txt	201	245)
10	task_10_247.txt	213	247)
10	task_10_300.txt	149	300)
10	task_10_301.txt	199	301)
10	task_10_303.txt	202	303)
10	task_10_304.txt	149	304)
10	task_10_305.txt	199	305)
13	task_13_015.txt	154	15)
13	task_13_030.txt	136	30)
13	task_13_031.txt	138	31)
13	task_13_032.txt	136	32)
13	task_13_033.txt	137	33)
13	task_13_034.txt	137	34)
13	task_13_035.txt	138	35)
13	task_13_036.txt	137	36)
13	task_13_037.txt	137	37)
13	task_13_038.txt	137	38)
13	task_13_065.txt	166	65)
13	task_13_066.txt	166	66)
13	task_13_067.txt	155	67)
13	task_13_069.txt	166	69)
13	task_13_070.txt	218	70)
13	task_13_071.txt	218	71)
13	task_13_072.txt	218	72)
13	task_13_073.txt	218	73)
13	task_13_074.txt	218	74)
13	task_13_075.txt	218	75)
13	task_13_076.txt	218	76)
13	task_13_077.txt	218	77)
13	task_13_078.txt	218	78)
13	task_13_079.txt	218	79)
13	task_13_080.txt	194	80)
13	task_13_081.txt	200	81)
13	task_13_082.txt	194	82)
13	task_13_084.txt	168	84)
13	task_13_085.txt	168	85)
13	task_13_086.txt	168	86)
13	task_13_087.txt	168	87)
13	task_13_088.txt	168	88)
13	task_13_089.txt	168	89)
13	task_13_090.txt	168	90)
13	task_13_091.txt	168	91)
13	task_13_092.txt	168	92)
13	task_13_093.txt	168	93)
13	task_13_094.txt	168	94)
13	task_13_095.txt	192	95)
13	task_13_096.txt	192	96)
13	task_13_097.txt	190	97)
13	task_13_098.txt	183	98)
13	task_13_099.txt	168	99)
13	task_13_100.txt	170	100)
13	task_13_101.txt	170	101)
13	task_13_102.txt	170	102)
13	task_13_104.txt	170	104)
13	task_13_105.txt	170	105)
13	task_13_106.txt	170	106)
13	task_13_107.txt	170	107)
13	task_13_108.txt	137	108)
13	task_13_109.txt	137	109)
13	task_13_110.txt	133	110)
13	task_13_111.txt	137	111)
13	task_13_112.txt	137	112)
13	task_13_113.txt	137	113)
13	task_13_114.txt	133	114)
13	task_13_115.txt	133	115)
13	task_13_116.txt	121	116)
13	task_13_117.txt	133	117)
13	task_13_118.txt	137	118)
13	task_13_119.txt	133	119)
13	task_13_120.txt	133	120)
13	task_13_121.txt	133	121)
13	task_13_122.txt	137	122)
13	task_13_123.txt	133	123)
13	task_13_124.txt	133	124)
13	task_13_126.txt	167	126)
13	task_13_127.txt	145	127)
13	task_13_128.txt	149	128)
13	task_13_129.txt	149	129)
13	task_13_130.txt	149	130)
13	task_13_131.txt	149	131)
13	task_13_132.txt	193	132)
13	task_13_133.txt	193	133)
13	task_13_134.txt	193	134)
14	task_14_002.txt	168	2)
14	task_14_003.txt	195	3)
14	task_14_004.txt	135	4)
14	task_14_005.txt	127	5)
14	task_14_006.txt	135	6)
14	task_14_007.txt	132	7)
14	task_14_008.txt	193	8)
14	task_14_009.txt	164	9)
14	task_14_010.txt	169	10)
14	task_14_011.txt	206	11)
14	task_14_012.txt	128	12)
14	task_14_013.txt	169	13)
14	task_14_015.txt	129	15)
14	task_14_016.txt	194	16)
14	task_14_017.txt	132	17)
14	task_14_018.txt	132	18)
14	task_14_019.txt	122	19)
14	task_14_020.txt	123	20)
14	task_14_021.txt	169	21)
14	task_14_022.txt	167	22)
14	task_14_023.txt	166	23)
14	task_14_024.txt	168	24)
14	task_14_025.txt	149	25)
14	task_14_026.txt	128	26)
14	task_14_027.txt	128	27)
14	task_14_028.txt	128	28)
14	task_14_029.txt	131	29)
14	task_14_030.txt	167	30)
14	task_14_031.txt	166	31)
14	task_14_032.txt	171	32)
14	task_14_033.txt	173	33)
14	task_14_034.txt	133	34)
14	task_14_035.txt	133	35)
14	task_14_036.txt	133	36)
14	task_14_037.txt	135	37)
14	task_14_038.txt	117	38)
14	task_14_039.txt	116	39)
14	task_14_041.txt	173	41)
14	task_14_042.txt	129	42)
14	task_14_043.txt	129	43)
14	task_14_044.txt	134	44)
14	task_14_045.txt	135	45)
14	task_14_046.txt	184	46)
14	task_14_047.txt	167	47)
14	task_14_048.txt	141	48)
14	task_14_049.txt	167	49)
14	task_14_050.txt	166	50)
14	task_14_051.txt	166	51)
14	task_14_052.txt	182	52)
14	task_14_053.txt	182	53)
14	task_14_054.txt	184	54)
14	task_14_055.txt	167	55)
14	task_14_056.txt	137	56)
14	task_14_057.txt	167	57)
14	task_14_059.txt	166	59)
14	task_14_060.txt	182	60)
14	task_14_061.txt	182	61)
14	task_14_062.txt	171	62)
14	task_14_063.txt	133	63)
14	task_14_065.txt	134	65)
14	task_14_069.txt	142	69)
14	task_14_070.txt	144	70)
14	task_14_071.txt	150	71)
14	task_14_072.txt	150	72)
14	task_14_073.txt	154	73)
14	task_14_074.txt	129	74)
14	task_14_075.txt	129	75)
14	task_14_076.txt	129	76)
14	task_14_077.txt	130	77)
14	task_14_078.txt	146	78)
14	task_14_079.txt	142	79)
14	task_14_082.txt	142	82)
14	task_14_084.txt	142	84)
14	task_14_085.txt	148	85)
14	task_14_086.txt	124	86)
14	task_14_087.txt	124	87)
14	task_14_088.txt	124	88)
14	task_14_089.txt	79	89)
14	task_14_090.txt	73	90)
14	task_14_091.txt	72	91)
14	task_14_092.txt	72	92)
14	task_14_093.txt	71	93)
14	task_14_094.txt	72	94)
14	task_14_095.txt	72	95)
14	task_14_096.txt	84	96)
14	task_14_097.txt	85	97)
14	task_14_098.txt	85	98)
14	task_14_099.txt	88	99)
14	task_14_100.txt	89	100)
14	task_14_101.txt	80	101)
14	task_14_102.txt	95	102)
14	task_14_103.txt	97	103)
14	task_14_104.txt	99	104)
14	task_14_105.txt	99	105)
14	task_14_106.txt	99	106)
14	task_14_107.txt	73	107)
14	task_14_121.txt	79	121)
14	task_14_122.txt	94	122)
14	task_14_124.txt	97	124)
14	task_14_138.txt	151	138)
14	task_14_139.txt	133	139)
14	task_14_140.txt	196	140)
14	task_14_141.txt	151	141)
14	task_14_142.txt	152	142)
14	task_14_143.txt	152	143)
14	task_14_144.txt	153	144)
14	task_14_146.txt	151	146)
14	task_14_147.txt	180	147)
14	task_14_148.txt	178	148)
14	task_14_149.txt	173	149)
14	task_14_150.txt	173	150)
14	task_14_151.txt	178	151)
14	task_14_152.txt	177	152)
14	task_14_153.txt	178	153)
14	task_14_154.txt	213	154)
14	task_14_155.txt	171	155)
14	task_14_156.txt	199	156)
14	task_14_157.txt	200	157)
14	task_14_163.txt	147	163)
14	task_14_164.txt	148	164)
14	task_14_165.txt	148	165)
14	task_14_166.txt	146	166)
14	task_14_167.txt	147	167)
14	task_14_168.txt	178	168)
14	task_14_169.txt	177	169)
14	task_14_170.txt	178	170)
14	task_14_171.txt	171	171)
14	task_14_172.txt	171	172)
14	task_14_173.txt	199	173)
14	task_14_174.txt	200	174)
14	task_14_175.txt	200	175)
14	task_14_180.txt	145	180)
14	task_14_181.txt	146	181)
14	task_14_182.txt	143	182)
14	task_14_183.txt	144	183)
14	task_14_184.txt	142	184)
14	task_14_185.txt	163	185)
14	task_14_186.txt	162	186)
14	task_14_187.txt	163	187)
14	task_14_188.txt	164	188)
14	task_14_189.txt	165	189)
14	task_14_190.txt	165	190)
14	task_14_191.txt	165	191)
14	task_14_192.txt	175	192)
14	task_14_193.txt	142	193)
14	task_14_194.txt	161	194)
14	task_14_195.txt	193	195)
14	task_14_196.txt	142	196)
14	task_14_197.txt	141	197)
14	task_14_198.txt	142	198)
14	task_14_199.txt	143	199)
14	task_14_200.txt	140	200)
14	task_14_201.txt	142	201)
14	task_14_202.txt	163	202)
14	task_14_203.txt	162	203)
14	task_14_204.txt	163	204)
14	task_14_206.txt	165	206)
14	task_14_208.txt	170	208)
14	task_14_210.txt	167	210)
14	task_14_211.txt	162	211)
14	task_14_212.txt	152	212)
14	task_14_213.txt	186	213)
14	task_14_214.txt	205	214)
14	task_14_215.txt	203	215)
14	task_14_216.txt	176	216)
14	task_14_217.txt	181	217)
14	task_14_218.txt	183	218)
14	task_14_219.txt	168	219)
14	task_14_220.txt	172	220)
14	task_14_221.txt	130	221)
14	task_14_222.txt	135	222)
14	task_14_223.txt	145	223)
14	task_14_224.txt	160	224)
14	task_14_225.txt	170	225)
14	task_14_226.txt	172	226)
14	task_14_231.txt	205	231)
14	task_14_232.txt	203	232)
14	task_14_234.txt	207	234)
14	task_14_235.txt	174	235)
14	task_14_236.txt	168	236)
14	task_14_237.txt	172	237)
14	task_14_239.txt	175	239)
14	task_14_250.txt	211	250)
14	task_14_251.txt	211	251)
14	task_14_253.txt	202	253)
14	task_14_267.txt	212	267)
14	task_14_282.txt	214	282)
14	task_14_286.txt	164	286)
14	task_14_287.txt	216	287)
14	task_14_288.txt	217	288)
14	task_14_290.txt	218	290)
14	task_14_297.txt	177	297)
14	task_14_300.txt	190	300)
14	task_14_311.txt	177	311)
14	task_14_322.txt	168	322)
14	task_14_323.txt	201	323)
14	task_14_325.txt	217	325)
14	task_14_326.txt	187	326)
14	task_14_327.txt	194	327)
14	task_14_330.txt	195	330)
14	task_14_331.txt	204	331)
14	task_14_332.txt	197	332)
14	task_14_533.txt	162	533)
14	task_14_535.txt	167	535)
14	task_14_537.txt	160	537)
14	task_14_645.txt	99	645)
15	task_15_001.txt	179	1)
15	task_15_002.txt	138	2)
15	task_15_003.txt	145	3)
15	task_15_004.txt	190	4)
15	task_15_005.txt	187	5)
15	task_15_006.txt	168	6)
15	task_15_007.txt	156	7)
15	task_15_009.txt	156	9)
15	task_15_010.txt	183	10)
15	task_15_011.txt	192	11)
15	task_15_012.txt	204	12)
15	task_15_013.txt	192	13)
15	task_15_014.txt	193	14)
15	task_15_015.txt	208	15)
15	task_15_016.txt	201	16)
15	task_15_017.txt	208	17)
15	task_15_018.txt	214	18)
15	task_15_020.txt	212	20)
15	task_15_021.txt	133	21)
15	task_15_022.txt	138	22)
15	task_15_023.txt	211	23)
15	task_15_024.txt	208	24)
15	task_15_025.txt	193	25)
15	task_15_026.txt	160	26)
15	task_15_027.txt	202	27)
15	task_15_028.txt	202	28)
15	task_15_029.txt	198	29)
15	task_15_031.txt	203	31)
15	task_15_032.txt	199	32)
15	task_15_033.txt	197	33)
15	task_15_036.txt	197	36)
15	task_15_037.txt	201	37)
15	task_15_041.txt	148	41)
15	task_15_288.txt	194	288)
15	task_15_289.txt	194	289)
15	task_15_290.txt	194	290)
15	task_15_291.txt	194	291)
15	task_15_292.txt	211	292)
15	task_15_293.txt	192	293)
15	task_15_294.txt	201	294)
15	task_15_296.txt	201	296)
15	task_15_297.txt	200	297)
15	task_15_298.txt	200	298)
15	task_15_299.txt	201	299)
15	task_15_301.txt	204	301)
15	task_15_302.txt	204	302)
15	task_15_303.txt	204	303)
15	task_15_304.txt	204	304)
15	task_15_306.txt	197	306)
15	task_15_307.txt	197	307)
15	task_15_308.txt	198	308)
15	task_15_309.txt	197	309)
15	task_15_310.txt	198	310)
15	task_15_311.txt	198	311)
15	task_15_313.txt	195	313)
15	task_15_314.txt	191	314)
15	task_15_315.txt	191	315)
15	task_15_316.txt	192	316)
15	task_15_317.txt	192	317)
15	task_15_318.txt	206	318)
15	task_15_319.txt	205	319)
15	task_15_320.txt	207	320)
15	task_15_321.txt	211	321)
15	task_15_322.txt	210	322)
15	task_15_323.txt	193	323)
15	task_15_324.txt	196	324)
15	task_15_326.txt	200	326)
15	task_15_327.txt	213	327)
15	task_15_328.txt	214	328)
15	task_15_330.txt	215	330)
15	task_15_331.txt	216	331)
15	task_15_333.txt	219	333)
15	task_15_334.txt	211	334)
15	task_15_335.txt	219	335)
15	task_15_336.txt	218	336)
15	task_15_338.txt	200	338)
15	task_15_339.txt	201	339)
15	task_15_340.txt	202	340)
15	task_15_341.txt	204	341)
15	task_15_344.txt	199	344)
15	task_15_345.txt	199	345)
15	task_15_353.txt	218	353)
15	task_15_361.txt	191	361)
15	task_15_362.txt	202	362)
15	task_15_363.txt	212	363)
15	task_15_558.txt	188	558)
15	task_15_559.txt	188	559)
15	task_15_560.txt	188	560)
15	task_15_561.txt	188	561)
15	task_15_562.txt	192	562)
16	task_16_002.txt	193	2)
16	task_16_053.txt	215	53)
16	task_16_247.txt	89	247)
16	task_16_249.txt	94	249)
16	task_16_269.txt	63	269)
16	task_16_271.txt	64	271)
16	task_16_273.txt	64	273)
16	task_16_277.txt	96	277)
16	task_16_279.txt	103	279)
16	task_16_281.txt	109	281)
17	task_17_021.txt	219	21)
17	task_17_022.txt	217	22)
17	task_17_054.txt	197	54)
17	task_17_055.txt	198	55)
17	task_17_056.txt	197	56)
17	task_17_058.txt	198	58)
17	task_17_059.txt	197	59)
17	task_17_060.txt	197	60)
17	task_17_061.txt	197	61)
17	task_17_062.txt	197	62)
17	task_17_063.txt	197	63)
23	task_23_001.txt	194	1)
23	task_23_002.txt	194	2)
23	task_23_006.txt	219	6)
23	task_23_007.txt	219	7)
23	task_23_008.txt	219	8)
23	task_23_009.txt	219	9)
23	task_23_011.txt	181	11)
23	task_23_012.txt	203	12)
23	task_23_013.txt	203	13)
23	task_23_014.txt	202	14)
23	task_23_025.txt	181	25)
23	task_23_026.txt	181	26)
23	task_23_027.txt	179	27)
23	task_23_028.txt	179	28)
23	task_23_029.txt	203	29)
23	task_23_031.txt	181	31)
24	task_24_002.txt	166	2)
24	task_24_003.txt	166	3)
24	task_24_004.txt	166	4)
24	task_24_005.txt	166	5)
24	task_24_006.txt	166	6)
24	task_24_007.txt	166	7)
24	task_24_008.txt	166	8)
24	task_24_009.txt	166	9)
24	task_24_010.txt	167	10)
24	task_24_011.txt	167	11)
24	task_24_012.txt	168	12)
24	task_24_016.txt	191	16)
24	task_24_017.txt	196	17)
24	task_24_018.txt	194	18)
24	task_24_077.txt	180	77)
24	task_24_080.txt	180	80)
24	task_24_082.txt	180	82)
24	task_24_083.txt	180	83)
24	task_24_084.txt	180	84)
24	task_24_085.txt	180	85)
24	task_24_087.txt	171	87)
24	task_24_089.txt	169	89)
24	task_24_090.txt	170	90)
24	task_24_091.txt	174	91)
24	task_24_125.txt	186	125)
24	task_24_126.txt	213	126)
24	task_24_132.txt	178	132)
24	task_24_133.txt	168	133)
24	task_24_134.txt	148	134)
24	task_24_136.txt	197	136)
24	task_24_176.txt	205	176)
24	task_24_196.txt	206	196)
24	task_24_197.txt	210	197)
24	task_24_205.txt	214	205)
24	task_24_212.txt	213	212)
24	task_24_214.txt	213	214)
25	task_25_071.txt	181	71)
25	task_25_079.txt	216	79)
25	task_25_087.txt	216	87)
26	task_26_002.txt	127	2)
26	task_26_003.txt	127	3)
26	task_26_004.txt	127	4)
26	task_26_005.txt	127	5)
26	task_26_007.txt	127	7)
26	task_26_008.txt	127	8)
26	task_26_009.txt	127	9)
26	task_26_010.txt	128	10)
26	task_26_011.txt	128	11)
26	task_26_229.txt	39	229)
26	task_26_400.txt	153	400)
